Nº ,OBJETO ,CONTRATO,DIRETORIA RESPONSÁVEL,Unidade,CÓD. PAOE,DESCRIÇÃO DO ITEM DE DESPESA,UNIDADE DE MEDIDA,QTD,VALOR UNITÁRIO,VALOR TOTAL,GRUPO DE DESPESA,NATUREZA,FONTE,IDU,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A+B+C+D)
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,4491,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8028,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8002,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
