CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,RISCO INERENTE,RISCO RESIDUAL,RISCO DE SEGURANÇA DA INFORMAÇÃO - SI,O QUE,QUEM,QUAL ATIVO CRÍTICO AFETADO PELO RISCO?,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
R.UGACO.08,Indisponibilidade dos serviços de TIC,ESTRATÉGICO,,CRÍTICO,,Aperfeiçoar o plano anual de contratação (com prioridades para assuntos críticos de continuidade de negócio),UGACO,MTI ,"Melhorar a consciência dos elaboradores das áreas demandante, para que o plano anual seja elaborado e executado com maior qualidade, planejamento, tempestividade e interesse na concretização de contratações, buscando assim priorizar e mitigar os assuntos críticos.","1. Através de reuniões trimestrais com as áreas demandantes, orientar e estimular a melhoria na elaboração e execução no plano anual de aquisições. 
2. Acompanhar a execução do plano anual de contratação vigente, realizando ajustes caso necessário. 
",02/02/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%",,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGOFF.01,D - Pagamentos por Indenização,OPERACIONAL,,ALTO,,Pagamentos de despesas sem cobertura contratual.,Todas as áreas demandantes,MTI,"Morosidade nos trâmites processuais para a renovação ou contratação de serviços contínuos. Falta de planejamento por parte do Gestor e Fiscal do Contrato, considerando que o Setor de Contratos envia e-mails orientativos informando o vencimento dos Contratos com até 6 (seis) meses de antecedência","O Gestor e o Fiscal do Contrato deverão fazer o acompanhamento da vigência do Contrato que é de sua responsabilidade, tomando as devidas providências quanto a sua renovação ou nova contratação, em tempo hábil, evitando pagamentos indenizatórios e abertura de Processo Administrativo - PAD.",02/01/2024,31/12/2024,"R$ 0,00",CANCELADA,0%,"Não houve pagamento por indenização no período de janeiro à junho de 2024. Este Indicador será revisto, haja vista que a UGOFF, não tem gerência sobre processos de indenizações.",UGOFF,-,6,6
R.UGOFF.02,H - Morosidade na liberação do Pedido de Venda via INFOCENTER.,OPERACIONAL,,CRÍTICO,,Atraso na emissão e entrega das notas fiscais para o cliente.,UGENE,MTI,Morosidade na liberação do pedido de venda através do INFOCENTER.,"A UGENE deverá liberar o pedido de venda através do INFOCENTER/PROTHEUS, validando todos os valores e serviços prestados para o cliente até o dia 05 domês subsequente ao serviços prestado pela MTI. GFAC - Gerar a nota fiscal, o  DAR - Documento de Arrecadação se necessário e envia o processo via SIGADOC para o cliente até o dia 10.",02/01/2024,31/12/2024,"R$ 506,00",EM ANDAMENTO,"50,46%","De janeiro à outubro foram realizados 747 faturamentos, sendo que 50,46% que equivale a 316 notas fiscais foram enviadas dentro do prazo de até o dia 10 do mês subsquente aos serviços prestados pela MTI.",UGOFF,,,
R.UGOFF.03,I - Inadimplência dos Clientes da MTI,OPERACIONAL,,ALTO,,Indíce de inadimplência dos clientes da MTI,Clientes ,MTI,Despesa não prevista no PTA pelos clientes; Discordância do cliente quanto aos serviços prestados; Morosidade na finalização do Termo de Referência do clientes para assinatura do contrato com a MTI; Ausência de Aditivo Contratual conforme o consumo do cliente., O cliente deverá prever no PTA o valor da despesa contratada.,02/01/2024,31/12/2024,"R$ 3.709.376,57",EM ANDAMENTO,"8,75%","Considerando os meses de janeiro à dezembro, consta uma inadimplência no valor de R$ 8.616.948,71, equivale a 9,73%. Insta informar que não foi considerado as notas fiscais faturadas no mês 6, uma vez que conforme clausula contratual, os clientes terão até 30 dias para realizar o pagamento considerando o atesto da nota fiscal pelo fiscal do contrato.",UGOFF,,,
R.UGOFF.04,"J - Solicitações de novas demandas durante a execução orçamentária, sem o devido planejamento. ",ESTRATÉGICO,,CRÍTICO,,Falta de Planejamento Orçamentário e corte do valor da LOA.,Todas as áreas demandantes,MTI,"1. Falta de planejamento para novas aquisições; 
2. Dificuldades em priorizar as novas demandas; 
3. Falta de clareza nos conceitos de planejamento e execução orçamentária", Na elaboração do PTA cada gestor e fiscal do contrato deverá primeiramente prever o valor da despesa já contratada (vigente) e na sequência prever valores para novas aquisições que já estejam validadas pelo Diretor da área e autorizadas pelo Presidente da MTI. ,02/01/2024,31/12/2024,"R$ 0,00",EM ANDAMENTO,"0,00%",Não houve movimentação de janeiro à dezembro,UGOFF,,,
R.UGOFF.05,L - Processo de pagamento Judicial.,OPERACIONAL,,ALTO,,Processos de Execução Judicial de Sentença proferida em 48 horas,UNIJUR,MTI,Curto prazo para pagamento de processos de Execução Judicial de Sentença proferida em 48 horas,"A UNIJUR encaminhar o processo de pagamento em carácter de urgência sempre comunicando a UGOFF e GEFI do curto prazo para autenticação do pagamento. Vale destacar que o sistema FIPLAN realiza pagamento até às 17h:00min e em casos de solicitação de antecipação de Float, o horário é até às 11h:00min. Pagamentos realizado sem antecipação, será creditado em até 48 horas.",02/01/2024,31/12/2024,"R$ 2.347,00",EM ANDAMENTO,"1,23%","Dos 2347 pagamentos realizados  de janeiro à novembro, 1,23 % que equivale a 6 (seis) processos, foram judiciais.",UGOFF,,,
R.UGOFF.06,B - Manter Atualizado o Sistema FIPLAN-GFO (Gestão Financeira de Obras e Serviços de Engenharia,OPERACIONAL,,MODERADO,,Manter o sistema FIPLAN-GFO atualizado,"Gestor/Fiscal do Contrato, GCTO, GEOR, GEFI.",MTI,Impedimento do pagamento da despesa.,"Todos os perfis envolvidos nesta demanda deverão manter os sistema FIPLAN-GFO atualizado, sendo o perfil de Operador de contratos de obras e serviços de engenharia, operador orçamentário e financeiro, fiscal de obras e serviços de engenharias, Auxiliar de fiscalização de obras e serviços de engenharia e Consulta.",02/01/2024,31/12/2024,"R$ 18.050.000,00",EM ANDAMENTO,"49,31%","O Sistema FIPLAN-GFO está sendo atualizado conforme a evolução da reforma da Nova Sede da MTI através de suas medições. Vale ressaltar que a quantidade informada de R$ 18.050.000,00 é referente ao credor São Pedro Construtora LTDA.  Foi realizado pagamentos até dezembro no total de R$ 8.900.814,01 , que equivale a 49,31 % do valor contratado.",UGOFF,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGCOF.01,B - Descumprimento de prazos para envio de informações relativas à Conciliação Bancaria pelo setor Financeiro em detrimento do processo de compatibilização de informações entre os sistemas de gestão Publico e Privado.,OPERACIONAL,,MODERADO,NÃO,Cumprimento de prazos,Alcindo / Gustavo / Marcio,UGOFF/UGCOF/GICF,"Ações a serem realizadas para mitigação de riscos de atrasos nos fechamentos contabeis mensais, oriundos de ausencias de informações internas. ","Com a realização da conciliação bancaria em ritmo diario ou semanal, com intuito de otimizar a data de fechamento mensal e posterior entrega à UGCOF para as devidas validações.",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",As entregas dos balancetes mensais foram realizadas no prazo para a Sefaz e Conselho Fiscal.,UGCOF,"100,00%",5,5
R.UGCOF.02,C - Descumprimento de prazos para envio de informações relativas ao Faturamento Mensal pela GFAC em detrimento do processo de compatibilização de informações entre os sistemas de gestão Publico e Privado.,OPERACIONAL,,MODERADO,NÃO,Cumprimento de prazos,Alcindo / Gustavo / Marcio,UGOFF/UGCOF/GICF,"Ações a serem realizadas para mitigação de riscos de atrasos nos fechamentos contabeis mensais, oriundos de ausencias de informações internas. ",Com o fechamento das informações relativas aos faturamentos do mês corrente em prazo hábil e a conferencia dos cancelamentos de documentos de competencias anteriores que servirão de creditos tributarios nas apurações tributarias do mês avaliado. ,01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","A validação do faturamento está ocorrendo até o segundo dia util do mês subsequente, dentro do prazo.",UGCOF,,,
R.UGCOF.03,D - Analise de documento fiscal em descumprimento as normas de retenção ou creditos tributarios.,OPERACIONAL,,MODERADO,NÃO,Legislação Tributaria,Alcindo / Gustavo,UGCOF/GICF,"Análises necessarias para liberação de um documento de entrada/saida, considerando que os mesmos interferem diretamente no montante de tributos apurado mensalmente.","Com observação a legislação tributaria, realização de atualizações constantes sobre o assunto e tratamento de erros na validação dos documentos.",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",Realizadas melhorias no sentido de verificar caso a caso as devidas retenções e aproveitamentos de crédito tributario.,UGCOF,,,
R.UGCOF.04,G - Preço dos produtos/serviços não competitivos com o mercado,ESTRATÉGICO,,ALTO,SIM,Atualização do plano de gestão de custos,Alcindo / Naianne,UGCOF/GCCP,"Necessidade de revisão dos custos dos serviços prestados, considerando folha, insumos e tributos para melhoria e adequação da apropriação dos custos e preços de venda","Com a observação nas melhores praticas de gestão de custos,realização de capacitação do pessoal responsavel e implantação de ferramentas necessarias. ",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",Iniciado o Pré projeto para realização do custeio de uma unidade piloto e apresentação do modelo à diretoria.,UGCOF,,,
R.UGCOF.05,"H - Descumprimento dos prazos de entrega dos Inventarios de Bens móveis, imóveis e de Consumo",OPERACIONAL,,MODERADO,NÃO,Gestão patrimonial,Alcindo / Olivia,UGCOF/UGADM,Necessidade do registro e classificação dos bens e suas alterações/cessões tempestivamente.,"Com a correta utilização da ferramenta de gestão de ativos, realização de ações  que mitiguem o risco de perda, dano ou extravio dos bens da empresa.",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",Nomeação de novo gerente de patrimonio. Levantamento de informações dos bens da empresa (por empregado).,UGCOF,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGITI.01,Baixa performance nos equipamentos de processamento de dados;,ESTRATÉGICO,,ALTO,NÃO,Substituir Parque Computacional obsoleto,GPAC,MTI,Garantir a integridade dos dados e disponiblidade dos serviços de TI,"3 Cenários possíveis:
* Aguardar a aquisição de HCI através do PROFISCO II, conforme projeto da MTI já reportado à SEFAZ;
* Realizar a Migração dos workloads de clientes/serviços dedicados para infraestrutura do Parceiro ZADARA, sendo necessário readequação contratual;
* Realizar a aquisição de mais nós de HCI que suporte a demanda, e definir estratégia de ciclo de investimentos contínuos",,,,EM ANDAMENTO,"51,00%","Necessário discutir possibilidades e definir estratégia.

* Parte será viabilizado pela ARP RedHat,para construção de ambiente dedicado;
* Aguardando agenda com a presidência para encaminhamento quanto a ARP RedHat;
* Aguardando retorno do CONDES;
Pregão agendado para 09/12",UGITI,"73,00%",8,8
R.UGITI.02,Indisponibilidade do ambiente de hospedagem (colocation),ESTRATÉGICO,,MODERADO,NÃO,Executar Retrofit do Espaço Físcio do DC,GPAC,MTI,Garantir a integridade dos dados e disponiblidade dos serviços de TI,"Realizar a contratação de serviços de engenharia para elaboração de Projetos de Retrofi do DC, que compreendam as necessidade de Refrigeração, Elétrica, Combate e prevenção de incêndio, Monitoramento e automação (DCIM);
Após projetos disponíveis realizar a priorização, para contratação das execuções ",01/02/2024,31/12/2024,,EM ANDAMENTO,98%,"Processo de contratação de engenheiro em fase de assinatura de Contrato, logo após segue para emissão de OS e início das atividades.
* Projetos em fase de validação;
* Realizada apresentação das especificações de alteração do DC para Diretoria que irá levar a Presidência para aprovação;
Aguardando finalização da documentação do projeto básico ",UGITI,,,
R.UGITI.08,Indisponibilidade no Ambiente de Virtualização;,ESTRATÉGICO,,ALTO,NÃO,Substituir Parque Computacional obsoleto,GPAC,MTI,Garantir a integridade dos dados e disponiblidade dos serviços de TI,"3 Cenários possíveis:
* Aguardar a aquisição de HCI através do PROFISCO II, conforme projeto da MTI já reportado à SEFAZ;
* Realizar a Migração dos workloads de clientes/serviços dedicados para infraestrutura do Parceiro ZADARA, sendo necessário readequação contratual;
* Realizar a aquisição de mais nós de HCI que suporte a demanda, e definir estratégia de ciclo de investimentos contínuos",,,,EM ANDAMENTO,"50,00%","Processo MTI-CIN-2022/00205; Contrato assinado em 17/05/2022;


* Parte será viabilizado pela ARP RedHat,para construção de ambiente dedicado;
* Aguardando agenda com a presidência para encaminhamento quanto a ARP RedHat;
* Aguardando retorno do CONDES;
Pregão agendado para 09/12",UGITI,,,
R.UGITI.11,Indisponibilidade dos serviços de internet,OPERACIONAL,,PEQUENO,NÃO,Ampliar a capacidade dos links de internet do AS,GRCO,MTI,Garantir a continuidade dos processos de negócio do Estado de Mato Grosso,Adtivo contratual com os provedores de Internet do AS para aumento da capacidade do LINK de internet,01/12/2023,15/04/2024,,CONCLUÍDA,100%,"Novos contratos assinados com as empresas Claro e Titânia.
Aguardando ativação ;
Mesmo Status",UGITI,,,
R.UGITI.16,"Indisponibilidade de comunicação na rede Infovia
e rede Core (incluindo rede de acesso - Datacenter)",ESTRATÉGICO,,CRÍTICO,NÃO,Subustituição de todo o parque de Ativos de Rede CORE,GRCO,MTI,Garantir a continuidade dos serviços de conectividade  do Datacenter e da Rede Infovia,Executar o Projeto de Implantação da Rede Core SDN (Spine/Leaf) licitada em 2023,05/12/2023,31/12/2024,,EM ANDAMENTO,"74,00%","Contrato assinado, emitido OS. Está em fase de planejamento, enquanto aguarda chegada dos equipamentos;
Equipamentos Entregues (Agosto/2024), iniciada fase de instalação e ativação;
* Instalação realizada, iniciado planejamento lógico e de migração;
Finalizando implantação, para início das migrações.
* De acordo com cronograma atualizado (encerramento previsto para 05/12)",UGITI,,,
R.UGITI.23,Indisponibilidade do Ambiente de Balanceamento,OPERACIONAL,,MODERADO,NÃO,Finalizar projeto de migração dos Virtual Servers (VS) do ambiente legado para novo,GABD,MTI,Garantir a disponibilidade e segurança das aplicações mantidas pela MTI,"Emitir OS para o contratado realizar as ações de configuração e finalização do projeto de migração, consequentemente desativar ambiente legado",01/01/2024,31/12/2024,,EM ANDAMENTO,"87,00%",Contrato 016/2022,UGITI,,,
R.UGITI.33,Baixa performance no uso das aplicações,OPERACIONAL,,MODERADO,NÃO,ampliar uso da ferramenta de monitoramento de performance de aplicações (APM),GABD,MTI,Garantir a disponibilidade e segurança das aplicações mantidas pela MTI,Avaliar possiblidade de adesão a ARP de subscrições e serviços Dynatrace para ampliar utilização da solução de monitoramento,10/05/2024,31/12/2024,,NÃO INICIADA,,"Iniciada análise de mercado e elaboração do Termo de Referência após a aprovação do recurso e repriorização dessa ação.

Aberto o processo MTI-PRO-2022/00154 para contratação;

Aguardando Homologação do Pregão realizado;
Contrato assinado;
Solução Implantada;
Iniciado configuração de aplicações a serem monitoradas;

* Aguardando definições quanto a cenários possíveis de contratação.
- Ação ficará para 2025, devido necessitar finalizar contratação",UGITI,,,
R.UGITI.37,"Indisponibilidade da Plataforma de
 Container - RedHat Openshift.",ESTRATÉGICO,,ALTO,NÃO,Manter equipe capacitada na operacionalização da solução de containers,GABD,MTI,Garantir a disponibilidade das aplicações mantidas pela MTI,"* Realizar Licitação de ARP de soluções Red Hat para prover subscrições e serviços que atendam a plataforma e sua expansão;
Avaliar lote de appliance que suporte ambiente dedicado",01/03/2024,31/12/2024,,EM ANDAMENTO,"51,00%","Aguardando licitação
* Aguardando retorno do CONDES quanto ao processo em andamento;
Pregão agendado para 09/12",UGITI,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGSDG.01,Falta de vazão na entrega dos serviços por meio de parceria,OPERACIONAL,MODERADO,,NÃO,Adequar tamanho dos pacotes de entrega confome capacidade das sprint,UGSDG,UGSDG,para entregar constantemente,"1-Orientar equipe interna
2-Orientar Parceira
3-Incluir o acordo na reunião de Kick Off
3-Acompanhar tamanho dos pacotes de entrega",01/03/2024,31/12/2024,,EM ANDAMENTO,92%,"23/04/2024 Atualizado.
06/09/2024 Atualizado.
08/10/2024 - Atualizado
22/11/2024 - Atualizado.",UGSDG,"72,22%",6,6
R.UGSDG.02,Falta de vazão na entrega dos serviços por meio de parceria,OPERACIONAL,MODERADO,,NÃO,Automatizar processo por meio de ferramentas,UGSDG,UGSDG,para aumentar a fluidez do processo,"1-Estudar Ferramentas disponiveis no mercado
2-Identificar o que pode ser automatizado no Service Now
3-Executar as adequações
4-Treinar Equipe",01/03/2024,31/12/2024,,EM ANDAMENTO,35%,"24/04/2024  - Atualizado.
A automatização de esteira, está sendo conduzida pela equipe UGARQ.
06/09/2024 Atualizado. Reforço recebido dos novos contatados.
08/10/2024 - Atualizado
22/11/2024 - Atualizado",UGSDG,,,
R.UGSDG.03,Dificuldade para estabelecer pacotes de entrega de valor para o cliente,OPERACIONAL,MODERADO,,NÃO,Capacitar Perfil PO,UGSDG,UGSDG,para entregar valor para o negocio,"1-Identificar capacitações e informar no plano de Capacitação
2-Adquirir treinamentos /certificações
3-Realizar treinamentos / certificação",01/03/2024,31/10/2024,,CONCLUÍDA,100%,"23/04/2024  Atualizado.
06/09/2024Atualizado. Contratações em andamento.
08/10/2024 - Atualizado
22/11/2024 - Atualizado",UGSDG,,,
R.UGSDG.04,Dificuldade para estabelecer pacotes de entrega de valor para o cliente,OPERACIONAL,MODERADO,,NÃO,Avaliar a percepção do valor entregue,UGSDG,UGSDG,para aferir satisfação do cliente,"1-Definir pesquisa 
2-Avaliar mensalmente",01/03/2024,31/12/2024,,EM ANDAMENTO,92%,"23/04/2024 -Atualizado.
06/09/2024-Atualizado.
08/10/2024 - Atualizado
22/11/2024 - Atulizado.",UGSDG,,,
R.UGSDG.05,"Falta de Integração dos processos (DEV, Comercial e Central)",OPERACIONAL,MODERADO,,NÃO,Integrar esteira dev e comercial,UGSDG,UGSDG,para desenvolver somente o que foi contratado ou autorizado comercialmente,"1-Definir os pontos possiveis de integração das equipes
2-Implantar Fluxo de Ordem de serviço
3-Implantar Fluxo de Faturamento",01/03/2024,31/12/2024,,EM ANDAMENTO,"15,00%","23/04/2024 Atualizado.
06/09/2024 Atualizado.
08/10/2024 - Atualizado - Esse assunto náo andou quase nada. 
22/11/2024 - Atualizado - Esse assunto náo andou quase nada. ",UGSDG,,,
R.UGSDG.06,Falta de vazão na entrega dos serviços por meio de parceria,OPERACIONAL,MODERADO,,NÃO,Solicitar contratação de Pessoas para atuarem como Líder de Celula e Tech Lead,UGSDG,UGSDG,"para manter a capacidade de atuação, considerando o encerramento do contrato  temporário atual","1-Especificar perfil de Lider de Celula e Tech Lead
2-Reportar produtos /projetos impactados",01/03/2024,30/04/2024,,CONCLUÍDA,"100,00%","24/04/2024 
Atualizado.
06/09/2024
Atualizado.",UGSDG,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGSTI.01,Parada de Firewall (UGGDC),OPERACIONAL,,MODERADO,SIM,Fazer cópias quinzenais das VMs que hospedam a ferramenta; Monitorar status de funcionamento dos firewalls gerenciados pela GSUP,GSUP,Vcenter MTI,Para ter como restaurar em caso de dano no ambiente original; Para acompanhar a disponibilidade dos firewalls,"Registrando chamado para a equipe que gere a Vcenter que hospeda a solução para agendar a execução do procedimento mensalmente; Através do acompanhamento de disponibilidade de funcionamento dos firewalls, gerados pela monitoria do Zabbix.
",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","Processo executado, porém sem atingir a meta de contratação que era de 65 analistas temporários, sendo contratados apenas 31. ""Feito o relatorio mensal sobre a disponibilidade dos Firewalls dos Clientes/Setorial na planilha
https://docs.google.com/spreadsheets/d/1YVhjTOhok5tPOz28j4gA2EaWMfX5gxq91xaeiS1un04/edit#gid=2108066493 """,UGSTI,"100,00%",8,8
R.UGSTI.03,Parada do Servidor do Antivirus (UGGDC),OPERACIONAL,,ALTO,SIM,Fazer cópias mensais das VMs que hospedam a ferramenta,GSUP,Vcenter MTI,Para ter como restaurar em caso de dano no ambiente original. Assegurar o bom funcionamento da ferramenta e evitar que a ferramenta fique sem analista para futuras manutenções e/ou atualizações.,"Registrando chamado para a equipe que gere a Vcenter que hospeda a solução para agendar a execução do procedimento mensalmente
",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",Será feito um relatorio mensal para monitoramento e evidencias.,UGSTI,,,
R.UGSTI.05,Baixa adesão Suporte do Google Workspace,OPERACIONAL,,MODERADO,NÃO,Capacitar técnicos e analistas em trilhas de conhecimento das ferramentas do Google Workspace ,UGSTI,MTI,Assegurar o bom funcionamento da solução e prestar um melhor atendimento aos usuários sobre as ferramentas disponibilizadas pela solução de colaboração,Através da realização de treinamentos e compartilhamento de conhecimento dentro das equipes  conforme o plano de capacitação da MTI e busca de auxílio por parte da parceria Google,01/01/2024,01/07/2024,,CONCLUÍDA,"100,00%",Está sendo realizado treinamento periódicos com a equipe.,UGSTI,,,
R.UGSTI.06,Parada de ativos de rede da MTI (ex: switches),OPERACIONAL,,ALTO,NÃO,Monitorar proativamento os status de funcionamento dos ativos de rede da MTI,GSUP,MTI,Para acompanhar a disponibilidade dos ativos de rede,"Através do acompanhamento de disponibilidade de funcionamento dos ativos de rede, gerados pela monitoria do Zabbix",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",Realizado criação e configuração Dashboard.,UGSTI,,,
R.UGSTI.12,Perda de backups Firewall´s,OPERACIONAL,,ALTO,NÃO,"Certificar junto a GPAC a realização e o armazenamento dos backups (diários, semanais e mensais dos arquivos e sistemas sensíveis).Realizar testes regulares mensais para se certificar que as cópias de segurança estão operacionais.",GSUP,MTI,"Assegurar disponibilidade das cópias de segurança de informações, dados e apps de utilização da UGSTI. Assegurar que as cópias de segurança realizadas estão operacionais.",Informar sempre que necessário a equipe responsável pelo ambiente de hospedagem das soluções e ferramentas de utilização da UGSTI sobre as necessidades de cópias recorrentes e das eventuais para se evitar perda de dados ou parada de serviços. Realizar restauração sistemática amostral de backups realizados de forma a se assegurar de que os mesmos estejam operacionais.,01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",Está sendo realizado bkp de 15 em 15 dias pela GSUP.,UGSTI,,,
R.UGSTI.18,Indisponibilidade de ativos de TI por ausência de equipamentos e peças reservas,OPERACIONAL,,ALTO,NÃO,Assegurar a disponibilidade de equipamentos reservas e peças sobressalentes,UGSTI,MTI,Para que sempre se tenha equipamentos e peças de reserva para que não haja parada crítica das atividades da empresa ou de seus clientes,"1- Confecção de novo termo de referência para aquisição de peças para manutenção;
2- Adquirir equipamentos e peças para assegurar continuidade das atividades da MTI e clientes;

",01/01/2024,30/08/2024,,CONCLUÍDA,"100,00%","Realizada a compra de periféricos (fone de ouvidos, teclados com fio, mousescom fio, kit teclado/ mouse sem fio).",UGSTI,,,
R.UGSTI.21,"Prestação de serviço indevido, por falta de controle automatizado de Saldo de contas Google",OPERACIONAL,MODERADO,,NÃO,Assegurar que a planilha está atualizada para ter certeza que os clientes estão com saldo de contas,UGSTI,GSUP,Atualizar a planilha constantemente conforme a criação das contas para cada cliente,1 - Automatização do processo de atualização de contas,01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",Planilha segue sendo atualizada diariamente.,UGSTI,,,
R.UGSTI.23,Baixo Engajamento das equipes internas,OPERACIONAL,,MODERADO,NÃO,Adotar ações que possibilitem o desenvolvimento das competencias e engajamento dos técnicos/analistas,UGSTI,MTI,Para ampliar o comprometimento e motivação em realizar suas tarefas e contribuir para os objetivos gerais da MTI. Resultando em um ambiente de trabalho colaborativo e produtivo.,"1 - Definindo objetivos e metas de forma clara e aberta 
2 - Reconhecimento e Feedback reconhecer as realizações das equipes
3 - Desenvolvimento profissional oferencendo oportunidades",01/05/2024,31/12/2024,,CONCLUÍDA,"100,00%",,UGSTI,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
