OBJETIVOS | Indicadores e Metas,Riscos Estratégicos,RESULTADO-CHAVE | INICIATIVA [REI],REI - ID,DIRETORIA,Unidade,PRAZO,MÉTRICA,SITUAÇÃO TRIMESTRE 1,SITUAÇÃO TRIMESTRE 2,SITUAÇÃO TRIMESTRE 3,SITUAÇÃO TRIMESTRE 4,SITUAÇÃO GERAL,OBSERVAÇÕES
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R4_Sensibilização/motivação das equipes,"Manter serviço de limpeza, apoio administrativo, recepção e copa",09,DAFI,UGADM_GETS,31/12/2024,Realizar a Gestão,Os serviços vem sendo prestado de acordo com o previsto. O feedback dos nossos clientes internos vem garantindo o fornecimento regular e a qualidade dos itens necessários para manter os serviços em funcionamento.,Os serviços vem sendo prestado de acordo com o previsto. O feedback dos nossos clientes internos vem garantindo o fornecimento regular e a qualidade dos itens necessários para manter os serviços em funcionamento.,Os serviços vem sendo prestado de acordo com o previsto. O feedback dos nossos clientes internos vem garantindo o fornecimento regular e a qualidade dos itens necessários para manter os serviços em funcionamento.,Os serviços vem sendo prestado de acordo com o previsto. O feedback dos nossos clientes internos vem garantindo o fornecimento regular e a qualidade dos itens necessários para manter os serviços em funcionamento.,Concluída,
,,,,,,,,,,,,,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Melhoria contínua nas conformidades de gestão e conformidade/conferencia da folha de pagamento. ,01,DAFI,UGCOF_GCCP,31/12/2024,Procedimentos Operacionais do Setor,"Utilização de 160,00 horas de analista para o desenvolvimento de ferramenta de conformidade de folha de pagamento. Isso resultará em conferencias mais ageis e confiaveis.",Plena utilização da ferramenta desenvolvida para conformidade da folha de pagamento. Trata-se de uma serie de alertas customizáveis onde o usuario poderá verificar se as rubricas indicadas nas folha de pagamento são devidas.,Plena utilização da ferramenta desenvolvida para conformidade da folha de pagamento. Trata-se de uma serie de alertas customizáveis onde o usuario poderá verificar se as rubricas indicadas nas folha de pagamento são devidas.,,Em execução,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,"Efetuar um acompanhamento minucioso e semanal da Caixa Postal Fiscal do e-CAC, bem como a emissão envio do Relatorio de Pendencias do CNPJ com intuito de prever ou resolver pendencias fiscais tempestivamente.",02,DAFI,UGCOF_GICF,31/12/2024,Encaminhamento de e-mails contendo as informações desejadas,Monitarado semanalmente pela GICF de modo a termos tempo de resposta hábil em notificações e pendencias. ,Monitarado semanalmente pela GICF de modo a termos tempo de resposta hábil em notificações e pendencias. ,Monitarado semanalmente pela GICF de modo a termos tempo de resposta hábil em notificações e pendencias. ,,Em execução,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 1: R1_Implementar  processo de gestão de custos,Treinamento do pessoal  na ferramenta de gestão de custos,03,DAFI,UGCOF_GCCP,31/12/2024,Horas de treinamento e aquisição de ferramentas,"No primeiro trimestre não houve a disponibilização da ferramenta Service Now para acompanhamento dos custos. Tal fato é de conhecimento da DTIC, conforme reuniões realizadas.","Após tratativas com Diretoria e Presidencia, tendo em vista algumas dificuldades tecnicas e financeiras com o Service Now, será realizado o planejamento de aquisição de uma ferramenta de gestão de custos especializada.","Iniciado o processo de aquisição da Ferramenta de gestão de custos Sollus, desenvolvida pela Gradda Software.  ",,Em execução,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,"Garantir o sincronismo das informações contábeis com a dos demais sistemas de gestão públicos não integrados ao sistema contábil oficial, garantindo o registro tempestivo e compatibilização dos demonstrativos contábeis.",04,DAFI,UGCOF_GICF,31/12/2024,Registros Contábeis,Durante o primeiro trimestre as compatibilizações de informações foram realizadas.,Durante o segundo trimestre as compatibilizações de informações foram realizadas.,Durante o segundo trimestre as compatibilizações de informações foram realizadas.,,Em execução,
"Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Índice de satisfação | 8,3",N.S.A.,"Manter a regularidade fiscal da empresa e o acompanhamento do portifólio de serviços afim de todas as informações serem fornecidas tempestivamente, garantindo boa impressão institucional no que concerne as entregas da Unidade.",05,DAFI,UGCOF_GCCP,31/12/2024,Procedimentos Operacionais do Setor,"Regularidade fiscal sendo acompanhada semanalmente, com emissão de certidões em todos os órgãos fiscalizadores.","Regularidade fiscal sendo acompanhada semanalmente, com emissão de certidões em todos os órgãos fiscalizadores.","Regularidade fiscal sendo acompanhada semanalmente, com emissão de certidões em todos os órgãos fiscalizadores.",,Em execução,
Objetivo 2: Elevar a receita de faturamento | Valor do Faturamento (R$ em Milhões) | 80,N.S.A.,"Optar por regimes e procedimentos tributarios que garantam a elisão fiscal, trazendo maior economicidade aliada ao aumento do faturamento.",06,DAFI,UGCOF_GICF,31/12/2024,Adesão a Leis e procedimentos fiscais,Preparação de implantação dos beneficios da Lei do Bem e alterações ocorridas nas subvenções para investimento.,Continuidade da preparação de implantação dos beneficios da Lei do Bem e alterações ocorridas nas subvenções para investimento.,"No que tange a Lei do Bem, duas empresas de consultoria especializada apresentaram propostas. Estas seguirão para analise superior.",,Em execução,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",N.S.A.,"Aprimorar a utilização das ferramentas ja existentes (e-mail, chat, GAT) e integração da equipe para conhecimento das rotinas de cada setor.",07,DAFI,UGCOF,31/12/2024,Atividades de Integração,Todas as ferramentas disponibilizadas se encontram em pleno funcionamento no setor.,Todas as ferramentas disponibilizadas se encontram em pleno funcionamento no setor.,Todas as ferramentas disponibilizadas se encontram em pleno funcionamento no setor.,,Em execução,
,,,,,,,,,,,,,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Disparar comunicados para os gestores e fiscais dos contratos para enviar processos de pagamentos no máximo de 5 dias úteis antes de seu vencimento,01,DAFI,UGOFF_GEFI,31/12/2024,Prazo para pagamento dos processos,33%,50%,75%,,Em execução,Está sendo realizado o acompanhamento das despesas continuadas junto aos fiscais dos contratos.
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Elaborar novo mapaeamento de processos de pagamentos de autoconcumo e emissão de nota única referente a Parcerias.,02,DAFI,UGOFF,31/12/2024,Processos Mapeados,0%,25%,50%%,,Em execução,Não houve evolução nessa atividade.
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",N.S.A.,"Promover integração entre as gerências GEOR, GEFI e GFAC para que todos possam ter conhecimento das demandas que são executadas por cada setor.",03,DAFI,UGOFF,31/12/2024,Eventos de Integração,35%,45%,90%,,Em execução,"Em 20/02/2024 deu início à integração entre a Gerência Orçamentária e Fianceira, com previsão de finalização no 1º semestre de 2024, após a finalização da primeira etapa será realizado a partir do 2º semestre a integração com a Gerência de Faturamento."
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Controlar e acompanhar as solicitações de remanejamento de recursos de créditos adicionais conforme o planejamento das áreas demandantes da MTI elaborado no PTA 2023.,04,DAFI,UGOFF,31/12/2024,Solicitações de Créditos Adicionais,33%,50%,93%%,,Em execução,"Foram realizados 04 (quatro) créditos adicionais, sendo 02 (dois) do tipo 101 (Realocações de Recursos entre programas do mesmo órgão), 01 (um) do tipo 103 (Realocações de Recursos entre categorias do mesmo órgão) e 01 (um) do tipo 100 (Remanejamento entre PAOE da mesma UO)."
Objetivo 2: Elevar a receita de faturamento | Valor do Faturamento (R$ em Milhões) | 80,N.S.A.,Acompanhar os vencimentos dos contratos com os clientes junto a GCTO evitando que seja emitido nota fiscal de serviços prestados sem cobertura contratual.,05,DAFI,UGOFF_GFAC,31/12/2024,Contratos de Clientes,33%,50%,93%%,,Em execução,"Essa atividade trata-se de apenas acompanhamento junto a GCTO, uma vez que a responsabiliade não é da GFAC. Insta informar que a partir de 01/04/2024 a gestão dos contratos de clientes ficará sobre responsabilidade da DIRC/UGVEN. "
